"Order";"Level";"Code";"Parent";"Code";"Parent";"Description";"Self-explanatory texts"
"152692";"1";"010010000090";;"I";;"SECTION I - LIVE ANIMALS; ANIMAL PRODUCTS";
"152693";"2";"010020000090";"010010000090";"01";"I";"CHAPTER 1 - LIVE ANIMALS";"LIVE ANIMALS"
"152694";"3";"010100000080";"010020000090";"0101";"01";"Live horses, asses, mules and hinnies";"Live horses, asses, mules and hinnies"
"152695";"4";"010110000080";"010100000080";"0101 10";"0101";" - Pure-bred breeding animals";"Pure-bred breeding horses and asses"
"152696";"4";"010190000080";"010100000080";"0101 90";"0101";" - Other";"Live horses, asses, mules and hinnies (excl. pure-bred for breeding)"
"152697";"3";"010200000080";"010020000090";"0102";"01";"Live bovine animals";"Live bovine animals"
"152698";"4";"010210000080";"010200000080";"0102 10";"0102";" - Pure-bred breeding animals";"Pure-bred breeding bovines"
"152699";"4";"010290000080";"010200000080";"0102 90";"0102";" - Other";"Live bovine animals (excl. pure-bred for breeding)"
"152700";"3";"010300000080";"010020000090";"0103";"01";"Live swine";"Live swine"
"152701";"4";"010310000080";"010300000080";"0103 10 ";"0103";" - Pure-bred breeding animals";"Pure-bred breeding swine"
"152702";"4";"010391000010";"010300000080";;"0103";" - Other";
"152703";"4";"010391000080";"010300000080";"0103 91";"0103";" -  - Weighing less than 50 kg";"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)"
"152704";"4";"010392000080";"010300000080";"0103 92";"0103";" -  - Weighing 50 kg or more";"Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)"
"152705";"3";"010400000080";"010020000090";"0104";"01";"Live sheep and goats";"Live sheep and goats"
"152706";"4";"010410000080";"010400000080";"0104 10";"0104";" - Sheep";"Live sheep"
"152707";"4";"010420000080";"010400000080";"0104 20";"0104";" - Goats";"Live goats"
"152708";"3";"010500000080";"010020000090";"0105";"01";"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls";"Live poultry, ""fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"""
"152709";"4";"010511000010";"010500000080";;"0105";" - Weighing not more than 185 g";
"152710";"4";"010511000080";"010500000080";"0105 11";"0105";" -  - Fowls of the species Gallus domesticus";"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)"
"152711";"4";"010512000080";"010500000080";"0105 12 ";"0105";" -  - Turkeys";"Live domestic turkeys, weighing <= 185 g"
"152712";"4";"010519000080";"010500000080";"0105 19";"0105";" -  - Other";"Live domestic ducks, geese and guinea fowls, weighing <= 185 g"
"152713";"4";"010592000010";"010500000080";;"0105";" - Other";
"152714";"4";"010592000080";"010500000080";"0105 92 ";"0105";" -  - Fowls of the species Gallus domesticus weighing not more than 2 000 g";"Live fowls of the species Gallus domesticus, weighing > 185 g but <= 2 kg"
"152715";"4";"010593000080";"010500000080";"0105 93 ";"0105";" -  - Fowls of the species Gallus domesticus weighing more than 2 000 g";"Live fowls of the species Gallus domesticus, weighing > 2 kg"
"152716";"4";"010599000080";"010500000080";"0105 99";"0105";" -  - Other";"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g"
"152717";"3";"010600000080";"010020000090";"0106";"01";"Other live animals";"Live animals (excl. horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, poultry, fish, crustaceans, molluscs and other aquatic invertebrates, and microorganic cultures etc.)"
"152718";"4";"010611000010";"010600000080";;"0106";" - Mammals";
"152719";"4";"010611000080";"010600000080";"0106 11 ";"0106";" -  - Primates";"Live primates"
"152720";"4";"010612000080";"010600000080";"0106 12 ";"0106";" -  - Whales, dolphins and purpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)";"Live whales, dolphins and purpoises ""mammals of the order Cetacea"" and manatees and dugongs ""mammals of the order Sirenia"""
"152721";"4";"010619000080";"010600000080";"0106 19";"0106";" -  - Other";"Live mammals (excl. primates, whales, dolphins and purpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"" and horses, asses, mules, hinnies, bovines, pigs, sheep and goats)"
"152722";"4";"010620000080";"010600000080";"0106 20 ";"0106";" - Reptiles (including snakes and turtles)";"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards"""
"152723";"4";"010631000010";"010600000080";;"0106";" - Birds";
"152724";"4";"010631000080";"010600000080";"0106 31 ";"0106";" -  - Birds of prey";"Live birds of prey"
"152725";"4";"010632000080";"010600000080";"0106 32 ";"0106";" -  - Psittaciformes (including parrots, parrakeets, macaws and cockatoos)";"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"""
"152726";"4";"010639000080";"010600000080";"0106 39";"0106";" -  - Other";"Live birds (excl. birds of prey and psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"")"
"152727";"4";"010690000080";"010600000080";"0106 90 ";"0106";" - Other";"Live animals (excl. mammals, reptiles, birds, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)"
"152728";"2";"020020000090";"010010000090";"02";"I";"CHAPTER 2 - MEAT AND EDIBLE MEAT OFFAL";"MEAT AND EDIBLE MEAT OFFAL"
"152729";"3";"020100000080";"020020000090";"0201";"02";"Meat of bovine animals, fresh or chilled";"Meat of bovine animals, fresh or chilled"
"152730";"4";"020110000080";"020100000080";"0201 10 ";"0201";" - Carcases and half-carcases";"Carcases or half-carcases of bovine animals, fresh or chilled"
"152731";"4";"020120000080";"020100000080";"0201 20";"0201";" - Other cuts with bone in";"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)"
"152732";"4";"020130000080";"020100000080";"0201 30 ";"0201";" - Boneless";"Fresh or chilled bovine meat, boneless"
"152733";"3";"020200000080";"020020000090";"0202";"02";"Meat of bovine animals, frozen";"Meat of bovine animals, frozen"
"152734";"4";"020210000080";"020200000080";"0202 10 ";"0202";" - Carcases and half-carcases";"Frozen bovine carcases and halfcarcases"
"152735";"4";"020220000080";"020200000080";"0202 20";"0202";" - Other cuts with bone in";"Frozen bovine cuts, with bone in (excl. carcases and halfcarcases)"
"152736";"4";"020230000080";"020200000080";"0202 30";"0202";" - Boneless";"Frozen, boneless meat of bovine animals"
"152737";"3";"020300000080";"020020000090";"0203";"02";"Meat of swine, fresh, chilled or frozen";"Meat of swine, fresh, chilled or frozen"
"152738";"4";"020311000010";"020300000080";;"0203";" - Fresh or chilled";
"152739";"4";"020311000080";"020300000080";"0203 11";"0203";" -  - Carcases and half-carcases";"Fresh or chilled carcases and half-carcases of swine"
"152740";"4";"020312000080";"020300000080";"0203 12";"0203";" -  - Hams, shoulders and cuts thereof, with bone in";"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in"
"152741";"4";"020319000080";"020300000080";"0203 19";"0203";" -  - Other";"Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)"
"152742";"4";"020321000010";"020300000080";;"0203";" - Frozen";
"152743";"4";"020321000080";"020300000080";"0203 21";"0203";" -  - Carcases and half-carcases";"Frozen carcases and half-carcases of swine"
"152744";"4";"020322000080";"020300000080";"0203 22";"0203";" -  - Hams, shoulders and cuts thereof, with bone in";"Frozen hams, shoulders and cuts thereof of swine, boneless"
"152745";"4";"020329000080";"020300000080";"0203 29";"0203";" -  - Other";"Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, boneless)"
"152746";"3";"020400000080";"020020000090";"0204";"02";"Meat of sheep or goats, fresh, chilled or frozen";"Meat of sheep or goats, fresh, chilled or frozen"
"152747";"4";"020410000080";"020400000080";"0204 10 ";"0204";" - Carcases and half-carcases of lamb, fresh or chilled";"Fresh or chilled lamb carcases and half-carcases"
"152748";"4";"020421000010";"020400000080";;"0204";" - Other meat of sheep, fresh or chilled";
"152749";"4";"020421000080";"020400000080";"0204 21 ";"0204";" -  - Carcases and half-carcases";"Fresh or chilled sheep carcases and half-carcases (excl. lambs)"
"152750";"4";"020422000080";"020400000080";"0204 22";"0204";" -  - Other cuts with bone in";"Fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases)"
"152751";"4";"020423000080";"020400000080";"0204 23 ";"0204";" -  - Boneless";"Fresh or chilled boneless cuts of sheep"
"152752";"4";"020430000080";"020400000080";"0204 30 ";"0204";" - Carcases and half-carcases of lamb, frozen";"Frozen lamb carcases and half-carcases"
"152753";"4";"020441000010";"020400000080";;"0204";" - Other meat of sheep, frozen";
